Post_Type,Note_Count,Quote_Content,Post_Source_URL
"quote","228576","delete that off the internet","http://www.thegoodvybe.ml/post/167320701382/delete-that-off-the-internet"
"quote","852","My feelings change faster then the foliage in the fall. I’m sorry.","http://www.thegoodvybe.ml/post/167310012117/my-feelings-change-faster-then-the-foliage-in-the"
"quote","492614","You don’t need another human being to make your life complete, but let’s be honest. Having your wounds kissed by someone who doesn’t see them as disasters in your soul, but cracks to put their love into, is the most calming thing in this world.","http://www.thegoodvybe.ml/post/167231957192/you-dont-need-another-human-being-to-make-your"
"quote","341875","Every part of me wants you.","http://www.thegoodvybe.ml/post/167211629312/every-part-of-me-wants-you"
"quote","55642","People are just as wonderful as sunsets if you let them be. When I look at a sunset, I don’t find myself saying, ‘Soften the orange a bit on the right hand corner.’ I don’t try to control a sunset. I watch with awe as it unfolds.","http://www.thegoodvybe.ml/post/167129792697/people-are-just-as-wonderful-as-sunsets-if-you-let"
"quote","966947","One day, you’re 17 and you’re planning for someday. And then quietly, without you ever really noticing, someday is today. And then someday is yesterday. And this is your life.","http://www.thegoodvybe.ml/post/167067149327/one-day-youre-17-and-youre-planning-for"
"quote","64121","Our culture has accepted two huge lies. The first is that if you disagree with someone’s lifestyle, you must fear or hate them. The second is that to love someone means you agree with everything they believe or do. Both are nonsense. You don’t have to compromise convictions to be compassionate.","http://www.thegoodvybe.ml/post/167059525807/our-culture-has-accepted-two-huge-lies-the-first"
"quote","2718","It’s just one of those nights where you feel so sad it physically hurts.","http://www.thegoodvybe.ml/post/167017582972/its-just-one-of-those-nights-where-you-feel-so"
"quote","157077","Distance sometimes lets you know who’s worth keeping and who’s worth letting go.","http://www.thegoodvybe.ml/post/167016756177/distance-sometimes-lets-you-know-whos-worth"
"quote","53675","Eventually you’ll end up where you need to be, with who you’re meant to be with, and doing what you should be doing.","http://www.thegoodvybe.ml/post/167016750072/eventually-youll-end-up-where-you-need-to-be"
"quote","1201180","Suddenly you’re 21 and you’re screaming along in the car to all the songs you listened to when you were sad in middle school and everything is different but everything is good.","http://www.thegoodvybe.ml/post/166910884222/suddenly-youre-21-and-youre-screaming-along-in"
"quote","259359","I lost my mind <br/>
trying to find yours.","http://www.thegoodvybe.ml/post/166851493507/i-lost-my-mind-trying-to-find-yours"
"quote","24360","Don’t be afraid of death; be afraid of an unlived life. You don’t have to live forever, you just have to live.","http://www.thegoodvybe.ml/post/166842510407/dont-be-afraid-of-death-be-afraid-of-an-unlived"
"quote","532573","How terrible is it to be called beautiful, smart and strong but end up being alone every night.","http://www.thegoodvybe.ml/post/166834287597/how-terrible-is-it-to-be-called-beautiful-smart"
"quote","641832","You still have a lot of time to make yourself be what you want.","http://www.thegoodvybe.ml/post/166829866327/you-still-have-a-lot-of-time-to-make-yourself-be"
"quote","1015096","I get way too sensitive when I get attached to someone. I can detect the slightest change in the tone of their voice, and suddenly I’m spending all day trying to figure out what I did wrong.","http://www.thegoodvybe.ml/post/166828118697/i-get-way-too-sensitive-when-i-get-attached-to"
"quote","587853","I don’t dislike learning, I dislike how we are taught","http://www.thegoodvybe.ml/post/166824868132/i-dont-dislike-learning-i-dislike-how-we-are"
"quote","509687","I think part of the reason why we hold so tight is because we fear something so great won’t happen twice","http://www.thegoodvybe.ml/post/166823158437/i-think-part-of-the-reason-why-we-hold-so-tight-is"
"quote","3924","You said you cared but you’re not here to hold me while i cry. You swore you’d never hurt me yet you are the one that hurt me the most.","http://www.thegoodvybe.ml/post/166823139197/you-said-you-cared-but-youre-not-here-to-hold-me"
"quote","13251","Loneliness does not come from having no people around, but from being unable to communicate the things that seem important to oneself.","http://www.thegoodvybe.ml/post/166804723272/loneliness-does-not-come-from-having-no-people"
